team,season,WAR,Enter,CG,SHO,G,W,L,SV,HLD,IP,R,ER,TBF,H,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,AVG,BSV,NP,QS,SAC,SF,WPCT
Samsung,15,14.06,577,4,1,144,88,56,34,60,1275.1,716,666,5523,1323,270,17,182,423,11,64,1194,2,44,4.7,4.72,1.37,105.1,104.2,14.06,-3.49,0.268,10,21832,75,67,37,0.611
SK,15,21.76,621,3,2,144,69,73,31,60,1280.2,724,673,5646,1358,270,11,153,517,31,70,1149,4,73,4.73,4.68,1.46,102.1,103.8,21.76,-4.73,0.275,12,22190,57,77,38,0.486
Doosan,14,16.98,564,4,0,128,59,68,19,60,1123.2,733,679,5066,1311,243,29,121,450,4,58,840,4,56,5.44,5.11,1.57,90.9,98.3,16.98,-12.86,0.295,14,19670,42,63,55,0.465
Hanhwa,14,11.26,530,2,1,130,49,77,26,30,1129,889,800,5312,1451,264,48,162,537,14,81,748,3,83,6.38,6,1.76,85.1,88,11.26,-23.12,0.318,11,20365,37,69,59,0.389
KIA,14,17.24,507,2,1,128,54,74,26,40,1121.2,788,735,5143,1289,252,32,116,561,8,67,896,1,78,5.9,5.26,1.65,88.5,100.6,17.24,-15.93,0.293,21,20272,42,66,52,0.422
LG,14,23.87,574,2,1,128,62,64,35,65,1142.2,643,584,5028,1211,194,27,104,419,25,95,810,1,51,4.6,4.91,1.43,107.6,102.8,23.87,-9.04,0.275,21,19440,47,72,44,0.492
Lotte,14,21.29,528,0,0,128,57,68,28,56,1100,705,645,4940,1268,243,26,126,456,11,52,756,1,52,5.28,5.33,1.57,103.3,100.2,21.29,-11.89,0.295,14,19761,46,82,42,0.457
NC,14,25.28,580,3,1,128,70,57,31,59,1135.2,608,554,5003,1174,223,12,117,481,8,73,848,5,50,4.39,5.14,1.46,118.5,102.6,25.28,-5.78,0.271,19,19320,59,78,38,0.551
Nexen,14,21.94,530,0,0,128,78,48,35,55,1131.2,716,668,5107,1299,231,18,142,516,2,61,901,4,55,5.31,5.42,1.6,99.2,98.8,21.94,-5.37,0.293,12,20728,43,57,36,0.619
Samsung,14,28.7,543,3,1,128,78,47,35,65,1144,621,583,4990,1217,257,23,120,395,11,61,996,3,51,4.59,4.65,1.41,115.3,113.6,28.7,-4.68,0.275,18,19628,63,66,40,0.624
SK,14,15.82,556,2,0,128,61,65,26,44,1129.1,760,699,5112,1271,241,21,153,522,19,68,837,1,67,5.57,5.65,1.59,91.6,92.6,15.82,-18.1,0.287,15,20141,41,60,36,0.484
Doosan,13,17.9,537,1,0,128,71,54,30,42,1150.1,625,584,5043,1183,,,84,514,0,76,848,6,55,4.57,4.36,1.48,93.1,97.5,17.9,,0.272,17,19707,44,67,39,0.568
Hanhwa,13,11.65,538,2,0,128,42,85,22,34,1129,711,666,5073,1195,,,98,532,0,95,822,8,89,5.31,4.69,1.53,81.7,92.6,11.65,,0.276,8,19471,34,78,43,0.331
KIA,13,13.69,551,2,0,128,51,74,32,50,1142.1,711,650,5200,1307,,,88,532,0,76,923,6,73,5.12,4.33,1.61,83.8,99.1,13.69,,0.293,12,20309,48,79,48,0.408
LG,13,24.89,579,4,2,128,74,54,42,86,1134.2,510,469,4848,1131,,,74,406,0,87,822,2,46,3.72,4.05,1.36,114.1,104.8,24.89,,0.266,11,18714,55,59,38,0.578
Lotte,13,22.99,537,1,1,128,66,58,38,64,1149.1,553,502,4986,1148,,,84,489,0,62,820,0,45,3.93,4.31,1.42,111.2,101.4,22.99,,0.267,21,19418,68,94,36,0.532
NC,13,21.63,510,5,1,128,52,72,26,31,1144.1,551,503,4919,1077,,,96,458,0,94,857,6,60,3.96,4.39,1.34,108.6,97.9,21.63,,0.254,21,19087,74,84,50,0.419
Nexen,13,22.46,541,0,0,128,72,54,50,70,1146.1,576,525,4996,1160,,,75,503,0,84,860,3,52,4.12,4.24,1.45,105.7,102.9,22.46,,0.27,12,19638,53,71,37,0.571
Samsung,13,24.31,508,2,1,128,75,51,31,49,1146.2,545,507,4896,1119,,,98,411,0,60,955,4,44,3.98,4.03,1.33,107.6,106.4,24.31,,0.259,7,19250,70,70,29,0.595
SK,13,20.74,522,4,1,128,62,63,31,38,1139,571,527,4932,1091,,,101,505,0,70,878,5,66,4.16,4.47,1.4,104.2,97,20.74,,0.257,17,19108,65,75,42,0.496
Doosan,12,22.79,513,9,3,133,68,62,38,47,1193.1,519,475,5012,1053,,,66,491,17,57,802,4,57,3.58,3.81,1.29,106.8,100.3,22.79,,0.243,14,19215,80,99,34,0.523
Hanhwa,12,15.31,550,3,0,133,53,77,29,54,1172.1,647,593,5092,1148,,,106,488,18,68,936,3,82,4.55,4.06,1.4,85.9,96.3,15.31,,0.263,12,19601,60,121,47,0.408
KIA,12,19.93,535,11,6,133,62,65,27,33,1183.2,564,513,5101,1161,,,69,452,13,68,822,6,56,3.9,3.76,1.36,96.9,100.6,19.93,,0.262,18,19344,74,112,38,0.488
LG,12,20.38,576,1,0,133,57,72,35,64,1202,580,537,5188,1235,,,65,422,23,71,735,6,57,4.02,3.76,1.38,95,101.7,20.38,,0.272,10,19186,48,116,41,0.442
Lotte,12,22.8,598,3,1,133,65,62,39,63,1190.1,518,460,5070,1145,,,74,469,20,53,825,1,65,3.48,3.79,1.36,110.2,101.1,22.8,,0.259,15,19536,57,96,30,0.512
Nexen,12,19.29,493,3,1,133,61,69,36,34,1187.1,551,505,5116,1131,,,80,535,9,74,853,0,62,3.83,4.06,1.4,100.1,94.4,19.29,,0.259,11,19743,64,104,43,0.469
Samsung,12,28.68,522,3,0,133,80,51,39,71,1187.2,473,448,4941,1085,,,65,384,14,37,885,5,46,3.39,3.35,1.24,112.5,113.9,28.68,,0.247,5,19074,67,82,43,0.611
SK,12,21.45,549,0,0,133,71,59,40,69,1181.1,528,502,5007,1114,,,90,457,26,70,814,7,35,3.82,3.99,1.33,99.6,95.5,21.45,,0.256,15,19078,54,92,32,0.546
Doosan,11,19.64,530,4,2,133,61,70,34,46,1188.2,619,563,5170,1231,,,96,476,19,75,855,6,70,4.26,4.15,1.44,96.1,98.8,19.64,,0.276,12,20081,51,110,45,0.466
Hanhwa,11,13.21,561,4,1,133,59,72,26,36,1175,727,667,5280,1273,,,128,524,10,55,938,2,91,5.11,4.46,1.53,81.8,93.6,13.21,,0.278,12,20442,44,79,44,0.45
KIA,11,22.78,515,7,4,133,70,63,29,37,1163.2,580,530,4991,1117,,,87,457,14,76,920,6,51,4.1,3.92,1.35,100.8,105.5,22.78,,0.257,10,19327,59,92,25,0.526
LG,11,19.59,564,2,1,133,59,72,30,50,1193.2,620,550,5209,1173,,,80,512,20,71,827,6,52,4.15,4.09,1.41,98.9,100.2,19.59,,0.261,15,19771,57,98,34,0.45
