name,season,WAR,WPCT,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SAC,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR*,WPA,MH,PH-BA,RISP
Nexen,12,23.82,0.469,1626,5021,4338,549,1056,189,28,102,1607,509,179,72,476,72,17,892,79,92,43,0.243,0.325,0.37,0.696,0.322,98.7,23.82,,132,0.154,0.261
Samsung,12,33.8,0.611,1668,5161,4436,628,1205,200,26,89,1724,585,125,48,500,86,19,813,91,91,47,0.272,0.353,0.389,0.742,0.344,113.9,33.8,,132,0.169,0.273
SK,12,24.08,0.546,1642,4996,4347,564,1120,197,15,108,1671,523,104,75,445,58,19,864,85,118,28,0.258,0.333,0.384,0.717,0.33,103.9,24.08,,131,0.197,0.256
Doosan,11,28,0.466,1602,5204,4498,614,1221,196,27,92,1747,578,130,57,513,81,17,799,118,73,39,0.271,0.354,0.388,0.742,0.344,106.3,28,,133,0.19,0.279
Hanwha,11,18.14,0.45,1754,5085,4367,568,1112,160,14,93,1579,536,100,76,488,74,14,906,93,130,25,0.255,0.338,0.362,0.7,0.323,91.9,18.14,,133,0.212,0.287
KIA,11,29.09,0.526,1613,5129,4373,627,1177,204,15,106,1729,597,113,38,554,59,11,782,110,109,34,0.269,0.357,0.395,0.752,0.346,107.5,29.09,,133,0.203,0.28
LG,11,21.25,0.45,1677,5158,4522,579,1203,192,15,94,1707,539,116,52,463,49,15,858,106,86,37,0.266,0.338,0.377,0.716,0.331,97,21.25,,133,0.169,0.271
Lotte,11,33.92,0.563,1671,5234,4599,713,1324,226,30,111,1943,666,112,58,466,64,19,836,124,61,44,0.288,0.358,0.422,0.781,0.359,115.8,33.92,,133,0.229,0.29
Nexen,11,13,0.389,1645,4989,4343,512,1065,187,23,79,1535,472,99,55,460,51,16,992,94,103,32,0.245,0.323,0.353,0.676,0.313,84.6,13,,132,0.212,0.252
Samsung,11,25.18,0.612,1689,5145,4437,625,1150,193,20,95,1668,585,158,51,522,69,23,940,97,73,43,0.259,0.343,0.376,0.719,0.334,98.9,25.18,,132,0.167,0.262
SK,11,20.88,0.546,1616,5124,4404,584,1157,204,18,100,1697,561,105,61,470,67,15,891,88,147,36,0.263,0.34,0.385,0.726,0.331,97,20.88,,133,0.238,0.263
Doosan,10,32.99,0.562,1701,5252,4538,731,1276,224,25,149,1997,706,128,61,533,89,27,834,97,54,38,0.281,0.365,0.44,0.805,0.363,114,32.99,,133,0.21,0.284
Hanwha,10,11.27,0.374,1751,5009,4321,543,1053,160,13,104,1551,508,121,70,497,80,10,943,106,75,33,0.244,0.331,0.359,0.69,0.317,83.7,11.27,,133,0.172,0.263
KIA,10,19.55,0.444,1623,5166,4416,611,1148,190,17,106,1690,574,117,52,523,85,14,865,110,109,33,0.26,0.347,0.383,0.73,0.332,93.4,19.55,,133,0.165,0.263
LG,10,24.72,0.445,1618,5270,4604,688,1270,223,17,121,1890,652,169,56,486,54,25,907,97,82,44,0.276,0.349,0.411,0.759,0.342,100.2,24.72,,133,0.192,0.287
Lotte,10,32.54,0.531,1567,5261,4673,773,1345,220,16,185,2152,739,124,51,420,67,15,873,105,60,41,0.288,0.352,0.461,0.813,0.362,113.4,32.54,,133,0.202,0.315
Nexen,10,16.83,0.4,1680,5139,4452,570,1165,199,20,87,1665,539,135,56,480,68,16,874,119,95,43,0.262,0.34,0.374,0.714,0.325,88.8,16.83,,132,0.221,0.268
Samsung,10,28.84,0.603,1678,5287,4436,681,1207,212,14,118,1801,630,158,55,621,75,29,916,111,111,44,0.272,0.368,0.406,0.774,0.35,105.1,28.84,,133,0.247,0.265
SK,10,24.01,0.641,1715,5213,4439,704,1217,222,16,120,1831,648,161,69,484,99,25,813,86,147,44,0.274,0.355,0.412,0.768,0.342,100.2,24.01,,132,0.243,0.284
Doosan,9,25.9,0.542,1670,5265,4591,722,1286,215,33,120,1927,669,129,50,522,86,21,849,128,26,40,0.28,0.362,0.42,0.781,0.353,101.7,25.9,,133,0.157,0.284
Hanwha,9,23.48,0.354,1700,5273,4620,657,1241,210,13,164,1969,629,69,20,498,81,16,1017,126,43,31,0.269,0.348,0.426,0.774,0.346,97.3,23.48,,133,0.258,0.264
