name,season,WPCT,WAR,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SAC,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR*,WPA
Samsung,95,0.5,23.08,1808,4752,4188,558,1047,199,20,94,1568,516,100,44,384,92,21,723,77,55,32,0.25,0.324,0.374,0.699,0.318,103.7,23.08,
Ssangbangwool,95,0.369,20.57,1575,4708,4154,476,1054,165,21,83,1510,438,131,70,381,37,25,600,75,103,33,0.254,0.32,0.364,0.683,0.308,96.5,20.57,
Taepyeongyang,95,0.401,16.06,1578,4657,4119,467,965,170,20,82,1421,436,93,48,389,46,15,754,90,67,35,0.234,0.305,0.345,0.65,0.297,88.7,16.06,
Haitai,94,0.524,26.55,1460,4757,4254,563,1153,183,17,93,1649,534,164,59,332,44,20,583,75,87,37,0.271,0.328,0.388,0.715,0.325,104,26.55,
Hanwha,94,0.524,16.46,1673,4691,4063,482,1002,166,15,68,1402,444,94,66,416,63,19,696,97,113,36,0.247,0.324,0.345,0.669,0.307,91.5,16.46,
LG,94,0.643,38.57,1541,4886,4265,655,1204,205,36,88,1745,612,143,61,455,70,18,573,83,54,41,0.282,0.358,0.409,0.767,0.352,123.6,38.57,
Lotte,94,0.456,20.55,1498,4710,4175,489,1072,180,33,58,1492,457,175,88,378,52,19,672,80,57,48,0.257,0.323,0.357,0.68,0.313,96.3,20.55,
OB,94,0.425,15.99,1610,4656,4113,477,1013,159,18,75,1433,459,81,54,364,53,15,712,76,93,33,0.246,0.313,0.348,0.662,0.304,89,15.99,
Samsung,94,0.484,27.19,1678,4801,4161,541,1081,165,22,106,1608,510,120,67,458,64,21,650,95,79,39,0.26,0.34,0.386,0.726,0.332,108.9,27.19,
Ssangbangwool,94,0.393,17.92,1718,4690,4142,494,1027,160,20,87,1488,455,151,68,378,45,19,622,86,100,23,0.248,0.316,0.359,0.675,0.308,92.5,17.92,
